epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2041.5,1.91552,1.25145,1.02779,0.0442,0.41864,0.06533,0.03307,1.71556,52.3205,0.95434,0.000742625,0.000742625,0.000742625
43,2089.55,1.91995,1.25183,1.02888,0.04051,0.37708,0.05107,0.03002,1.69901,70.5542,0.98108,0.00073025,0.00073025,0.00073025
44,2137.25,1.90729,1.22843,1.02396,0.04674,0.3125,0.0532,0.03104,1.62693,59.9466,0.93192,0.000717875,0.000717875,0.000717875
45,2187.36,1.91852,1.22227,1.04117,0.04933,0.15417,0.04957,0.02933,1.77416,57.8982,0.98443,0.0007055,0.0007055,0.0007055
46,2235.82,1.89924,1.22407,1.02412,0.07171,0.25,0.0533,0.03044,1.7537,47.2598,0.97774,0.000693125,0.000693125,0.000693125
47,2283.29,1.90358,1.20587,1.03019,0.03912,0.50833,0.05032,0.03048,1.54068,67.8309,0.92319,0.00068075,0.00068075,0.00068075
48,2332.94,1.85896,1.19387,1.0173,0.05287,0.61042,0.06778,0.04135,1.57007,58.913,0.90793,0.000668375,0.000668375,0.000668375
49,2381.75,1.87383,1.19783,1.01858,0.29129,0.15833,0.05012,0.02771,1.65006,49.3513,0.92536,0.000656,0.000656,0.000656
50,2429.35,1.85937,1.19235,1.01859,0.05971,0.55,0.06624,0.04341,1.48211,64.7161,0.87594,0.000643625,0.000643625,0.000643625
51,2477.81,1.84721,1.171,1.01224,0.10537,0.42083,0.07502,0.04531,1.61134,55.9265,0.94602,0.00063125,0.00063125,0.00063125
52,2525.88,1.85258,1.17207,1.01373,0.05138,0.51458,0.05917,0.03385,1.59568,56.6066,0.92437,0.000618875,0.000618875,0.000618875
53,2573.79,1.8288,1.16393,1.0117,0.06698,0.49375,0.05944,0.03267,1.56755,65.5686,0.88562,0.0006065,0.0006065,0.0006065
54,2621.96,1.8165,1.15126,1.00612,0.08211,0.25122,0.06566,0.03709,1.54383,55.9581,0.90556,0.000594125,0.000594125,0.000594125
55,2669.37,1.82469,1.15156,1.01218,0.04049,0.38958,0.04376,0.02509,1.50397,63.9711,0.88933,0.00058175,0.00058175,0.00058175
56,2720.64,1.80704,1.12668,1.00261,0.0676,0.4875,0.06618,0.04116,1.56176,63.2784,0.91075,0.000569375,0.000569375,0.000569375
57,2767.04,1.79646,1.11633,1.00184,0.04979,0.38618,0.05466,0.03363,1.52604,74.9426,0.88432,0.000557,0.000557,0.000557
58,2815.16,1.80477,1.14231,0.9989,0.04078,0.21458,0.05033,0.03109,1.57151,66.4759,0.91362,0.000544625,0.000544625,0.000544625
59,2861.98,1.77671,1.09971,0.9971,0.30266,0.16667,0.05721,0.03636,1.44094,63.826,0.88822,0.00053225,0.00053225,0.00053225
60,2907.74,1.78535,1.10554,0.99612,0.04255,0.36042,0.06181,0.03472,1.51203,63.5277,0.89921,0.000519875,0.000519875,0.000519875
61,2955.87,1.75281,1.09792,0.99433,0.04635,0.1875,0.04857,0.0286,1.53416,64.977,0.8887,0.0005075,0.0005075,0.0005075
62,3001.95,1.7573,1.09793,0.99138,0.04654,0.43958,0.07371,0.04539,1.46202,65.7882,0.87686,0.000495125,0.000495125,0.000495125
