epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3393.71,1.29748,1.07769,1.32397,0.73724,0.51804,0.64242,0.40043,1.49903,1.24514,1.56881,0.000742625,0.000742625,0.000742625
43,3477.78,1.27222,1.04544,1.30849,0.64972,0.59069,0.63206,0.38542,1.49784,1.24174,1.5641,0.00073025,0.00073025,0.00073025
44,3555.62,1.28854,1.04497,1.31425,0.66299,0.51048,0.61386,0.38166,1.50606,1.27855,1.57633,0.000717875,0.000717875,0.000717875
45,3638.9,1.28629,1.04678,1.31675,0.61258,0.56912,0.62065,0.37694,1.55951,1.28201,1.61638,0.0007055,0.0007055,0.0007055
46,3716.84,1.25645,1.02672,1.29625,0.67889,0.56928,0.64101,0.39757,1.46558,1.23185,1.55096,0.000693125,0.000693125,0.000693125
47,3794.89,1.25389,0.99519,1.29035,0.71762,0.51326,0.61073,0.37084,1.54701,1.2717,1.59663,0.00068075,0.00068075,0.00068075
48,3878.02,1.22694,0.99059,1.27425,0.69651,0.56696,0.63478,0.38558,1.48735,1.26886,1.60206,0.000668375,0.000668375,0.000668375
49,3961.63,1.24384,0.99599,1.29421,0.62191,0.58501,0.62573,0.38453,1.52771,1.25568,1.61083,0.000656,0.000656,0.000656
50,4039.66,1.23971,0.99962,1.28419,0.65571,0.58944,0.64516,0.39067,1.49963,1.20686,1.58934,0.000643625,0.000643625,0.000643625
51,4123.41,1.22044,0.95758,1.27006,0.68307,0.57565,0.65689,0.41391,1.46961,1.19568,1.56176,0.00063125,0.00063125,0.00063125
52,4208.17,1.19284,0.9402,1.25874,0.66026,0.54811,0.61914,0.38822,1.49798,1.20848,1.6187,0.000618875,0.000618875,0.000618875
53,4286.19,1.19543,0.95919,1.26241,0.7007,0.53265,0.6284,0.38779,1.50981,1.24097,1.61073,0.0006065,0.0006065,0.0006065
54,4369.66,1.17683,0.92322,1.25335,0.71898,0.55247,0.64707,0.40695,1.45356,1.17073,1.57395,0.000594125,0.000594125,0.000594125
55,4452.84,1.14241,0.89081,1.23611,0.61193,0.57082,0.61581,0.39247,1.48136,1.23012,1.58811,0.00058175,0.00058175,0.00058175
56,4530.67,1.13727,0.87206,1.22332,0.69989,0.60465,0.66905,0.41844,1.44939,1.15544,1.58582,0.000569375,0.000569375,0.000569375
57,4615.22,1.14253,0.88083,1.23445,0.68619,0.59354,0.67776,0.41504,1.46819,1.1412,1.58018,0.000557,0.000557,0.000557
58,4696.76,1.1375,0.88298,1.22638,0.69032,0.56379,0.65736,0.41094,1.44894,1.22548,1.55586,0.000544625,0.000544625,0.000544625
59,4774.53,1.12812,0.8629,1.22219,0.73577,0.56149,0.66136,0.41593,1.44088,1.17683,1.5988,0.00053225,0.00053225,0.00053225
60,4852.27,1.08665,0.82309,1.20667,0.74359,0.57103,0.66191,0.41052,1.45519,1.18492,1.57357,0.000519875,0.000519875,0.000519875
61,4929.95,1.11659,0.84203,1.22391,0.68625,0.60088,0.67651,0.41606,1.44041,1.12334,1.57591,0.0005075,0.0005075,0.0005075
62,5007.72,1.08481,0.82687,1.1999,0.79098,0.57553,0.67957,0.42791,1.43729,1.16907,1.57203,0.000495125,0.000495125,0.000495125
63,5090.94,1.08108,0.82501,1.20142,0.72415,0.60507,0.67392,0.41878,1.43109,1.13865,1.59901,0.00048275,0.00048275,0.00048275
64,5168.91,1.06111,0.79731,1.18013,0.74868,0.577,0.67078,0.42075,1.4337,1.134,1.60056,0.000470375,0.000470375,0.000470375
65,5246.87,1.04372,0.78333,1.16702,0.75613,0.58676,0.67636,0.42906,1.44607,1.15475,1.58847,0.000458,0.000458,0.000458
66,5330.41,1.04625,0.77579,1.17991,0.619,0.64823,0.67036,0.42587,1.41898,1.14969,1.58957,0.000445625,0.000445625,0.000445625
67,5408.82,1.06207,0.80128,1.18012,0.74858,0.57372,0.68108,0.41973,1.4269,1.13041,1.58534,0.00043325,0.00043325,0.00043325
68,5487.29,1.04042,0.784,1.16832,0.73273,0.58201,0.67271,0.4204,1.42844,1.14757,1.59551,0.000420875,0.000420875,0.000420875
69,5565.73,1.00906,0.75829,1.16592,0.70981,0.62873,0.6776,0.42721,1.41129,1.10607,1.58913,0.0004085,0.0004085,0.0004085
70,5644.06,1.01903,0.75554,1.15201,0.65619,0.63486,0.67952,0.42657,1.40192,1.12082,1.57345,0.000396125,0.000396125,0.000396125
71,5721.79,0.98146,0.72221,1.14753,0.71808,0.58569,0.66805,0.4241,1.44348,1.16434,1.61802,0.00038375,0.00038375,0.00038375
72,5800.05,0.98523,0.72184,1.1476,0.74839,0.56909,0.669,0.42515,1.43924,1.18118,1.61151,0.000371375,0.000371375,0.000371375
73,5878.15,0.97455,0.73022,1.13947,0.73834,0.58815,0.68537,0.43516,1.40487,1.13377,1.59512,0.000359,0.000359,0.000359
